,trial_number,set_size,match,correct,response,response_time,probe_letter,session,session_file
0,1.0,6.0,1.0,1.0,51.0,7.40475,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
1,2.0,6.0,2.0,1.0,52.0,2.32525,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
2,3.0,6.0,1.0,1.0,51.0,1.418,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
3,4.0,8.0,2.0,1.0,52.0,1.32925,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
4,5.0,4.0,1.0,1.0,51.0,0.998,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
5,6.0,8.0,2.0,1.0,52.0,1.0235,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
6,7.0,8.0,2.0,1.0,52.0,1.2105,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
7,8.0,6.0,2.0,1.0,52.0,1.31575,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
8,9.0,8.0,2.0,1.0,52.0,1.7785,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
9,10.0,4.0,2.0,1.0,52.0,2.0485,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
10,11.0,4.0,1.0,1.0,51.0,1.76625,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
11,12.0,6.0,2.0,1.0,52.0,1.118,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
12,13.0,8.0,2.0,1.0,52.0,2.268,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
13,14.0,8.0,1.0,0.0,2.0,1.2065,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
14,15.0,4.0,2.0,1.0,52.0,1.27825,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
15,16.0,4.0,1.0,1.0,51.0,1.08925,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
16,17.0,8.0,2.0,1.0,52.0,1.31275,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
17,18.0,6.0,2.0,1.0,52.0,1.1865,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
18,19.0,8.0,2.0,1.0,52.0,1.675,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
19,20.0,4.0,1.0,1.0,51.0,1.7655,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
20,21.0,6.0,1.0,1.0,51.0,2.497,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
21,22.0,4.0,2.0,1.0,52.0,1.2975,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
22,23.0,6.0,1.0,1.0,51.0,2.77625,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
23,24.0,8.0,2.0,0.0,1.0,2.20775,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
24,25.0,4.0,1.0,1.0,51.0,1.69425,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
25,26.0,4.0,1.0,1.0,51.0,1.81075,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
26,27.0,4.0,2.0,1.0,52.0,2.82975,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
27,28.0,8.0,1.0,1.0,51.0,1.894,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
28,29.0,6.0,1.0,1.0,51.0,1.8315,X,1,Data_Subject_08_Session_01.h5_seeg_raw.csv
